{'pid': 4212, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'powershell.exe'}
{'pid': 4340, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WmiPrvSE.exe'}
{'pid': 4408, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 4516, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 4576, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 4628, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'igfxEM.exe'}
{'pid': 4648, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 4676, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 4736, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 4788, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'OneDriveStandaloneUpdater.exe'}
{'pid': 4812, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'ctfmon.exe'}
{'pid': 4824, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 4948, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 4956, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'spoolsv.exe'}
{'pid': 4972, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'dasHost.exe'}
{'pid': 5020, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe'}
{'pid': 5100, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 5136, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 5208, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WUCSProxyService.exe'}
{'pid': 5300, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 5336, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MemCompression'}
{'pid': 5376, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe'}
{'pid': 5424, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 5580, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 5584, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'armsvc.exe'}
{'pid': 5684, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 5692, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 5696, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe'}
{'pid': 5740, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 5752, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 5772, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'NVDisplay.Container.exe'}
{'pid': 5820, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 5828, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'dllhost.exe'}
{'pid': 5896, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 5928, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe'}
{'pid': 6004, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'HiConnectivityService.exe'}
{'pid': 6040, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'explorer.exe'}
{'pid': 6364, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 6616, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 6688, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 6748, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SearchIndexer.exe'}
{'pid': 6776, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe'}
{'pid': 6792, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 6828, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'HWVEAudioService.exe'}
{'pid': 6940, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'LCD_Service.exe'}
{'pid': 6948, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'HwDistributedMainService.exe'}
{'pid': 6972, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MateBookService.exe'}
{'pid': 6992, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'osdservice.exe'}
{'pid': 6996, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'BasicService.exe'}
{'pid': 7004, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 7032, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'IntelAudioService.exe'}
{'pid': 7044, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'python.exe'}
{'pid': 7072, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'OneApp.IGCC.WinService.exe'}
{'pid': 7080, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 7112, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'NahimicService.exe'}
{'pid': 7176, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'jhi_service.exe'}
{'pid': 7196, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 7208, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'elastic-agent.exe'}
{'pid': 7216, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'OfficeClickToRun.exe'}
{'pid': 7256, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'SessionService.exe'}
{'pid': 7264, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'RtkAudUService64.exe'}
{'pid': 7280, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 7308, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MpDefenderCoreService.exe'}
{'pid': 7364, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 7428, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmware-authd.exe'}
{'pid': 7448, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmnetdhcp.exe'}
{'pid': 7476, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmnat.exe'}
{'pid': 7484, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'esif_uf.exe'}
{'pid': 7512, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 7540, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WMIRegistrationService.exe'}
{'pid': 7556, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wazuh-agent.exe'}
{'pid': 7568, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 7580, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MsMpEng.exe'}
{'pid': 7588, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'msedgewebview2.exe'}
{'pid': 7608, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'vmware-usbarbitrator64.exe'}
{'pid': 7616, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wslservice.exe'}
{'pid': 7628, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 7656, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'CptService.exe'}
{'pid': 7700, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Sysmon.exe'}
{'pid': 7792, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'HWVEAudioSession.exe'}
{'pid': 8084, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 8120, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 8312, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe'}
{'pid': 8488, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'svchost.exe'}
{'pid': 8856, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 8876, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'unsecapp.exe'}
{'pid': 8908, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 9352, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'HiviewService.exe'}
{'pid': 9404, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 9552, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'RtkAudUService64.exe'}
{'pid': 9776, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'powershell.exe'}
{'pid': 9868, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 9988, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'dllhost.exe'}
{'pid': 10252, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 10448, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'NahimicSvc64.exe'}
{'pid': 10488, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'NahimicSvc32.exe'}
{'pid': 10812, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'MBAMessageCenter.exe'}
{'pid': 10816, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 10928, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 10948, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'AggregatorHost.exe'}
{'pid': 11196, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'HwMdcCenter.exe'}
{'pid': 11432, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'unsecapp.exe'}
{'pid': 11444, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 11604, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 11616, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 11620, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'aesm_service.exe'}
{'pid': 11704, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 11852, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'HwMdcUI.exe'}
{'pid': 12000, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'StartMenuExperienceHost.exe'}
{'pid': 12072, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 12092, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 12252, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 12292, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'conhost.exe'}
{'pid': 12552, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'fleet-server.exe'}
{'pid': 12672, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'RuntimeBroker.exe'}
{'pid': 12816, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 12820, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe'}
{'pid': 12896, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'powershell.exe'}
{'pid': 12924, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'Code.exe'}
{'pid': 12936, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'conhost.exe'}
{'pid': 13108, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'MessageCenterUI.exe'}
{'pid': 13128, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'SearchApp.exe'}
{'pid': 13320, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 13512, 'username': 'DESKTOP-FKA7H88\\USER', 'name': 'brave.exe'}
{'pid': 13736, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
{'pid': 13912, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'agentbeat.exe'}
